,TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR),Age
13759,T13760,C7242056,1989-04-17,M,MELBOURNE,187204.45,2016-09-25,21:21:58,690.46,27
14300,T14301,C7833164,1995-06-21,F,NORBURY,753575.35,2016-09-26,17:37:40,250.0,21
14726,T14727,C2833121,1995-06-21,F,NORBURY,753575.35,2016-09-26,17:45:45,250.0,21
14753,T14754,C8483346,1987-03-08,M,MUSCAT,48340.18,2016-09-26,16:19:45,10.0,29
15266,T15267,C7533068,1984-07-16,M,SPEYER,91623.42,2016-09-26,17:28:42,2602.0,32
15486,T15487,C7631883,1987-10-06,M,DOHA,204979.59,2016-09-26,18:06:19,1.0,29
15712,T15713,C1910070,1973-07-24,M,CUMMING,331448.61,2016-09-26,18:37:22,5100.0,43
15991,T15992,C1119347,1982-02-05,M,KUALA LAMPUR,77313.06,2016-09-26,15:01:06,6625.0,34
16389,T16390,C7810043,1989-06-05,M,DUBAI,78730.02,2016-09-26,16:53:29,6.19,27
16529,T16530,C8323487,1984-11-16,M,AL SALMIYA,17477.46,2016-09-26,17:43:46,3400.0,31
16849,T16850,C3529672,1984-09-14,M,BRUXELLES,99639.86,2016-09-26,19:48:08,1238.0,32
17258,T17259,C3837039,1968-12-31,M,DUBAI,264911.95,2016-09-26,19:31:19,27762.75,47
17367,T17368,C2630465,1992-01-25,M,SYDNEY,3686.42,2016-09-26,16:19:58,3435.71,24
17533,T17534,C3823478,1979-11-16,M,DUBAI,1361598.55,2016-09-26,12:36:12,25.0,36
18000,T18001,C2183376,1987-03-08,M,MUSCAT,48340.18,2016-09-26,19:49:35,13.97,29
18081,T18082,C3514419,1987-08-27,F,LONDON,1342103.81,2016-09-26,16:33:32,10200.0,29
18254,T18255,C1723723,1987-09-26,M,ABU DHABI,848.29,2016-09-26,14:29:36,3676.0,29
18519,T18520,C2231823,1987-10-06,M,DOHA,204979.59,2016-09-26,18:43:18,200.0,29
19060,T19061,C7831538,1991-01-22,M,DUBAI,194991.83,2016-09-26,18:10:54,25.0,25
19156,T19157,C6117052,1985-07-11,M,LAGOS,6489159.04,2016-09-26,12:50:19,510.0,31
19320,T19321,C6510411,1976-01-27,M,DUBAI,1617441.17,2016-09-26,16:04:20,758.0,40
19581,T19582,C2742421,1990-01-13,M,DUBLIN,23489.36,2016-09-26,19:30:26,200.0,26
19593,T19594,C1533845,1985-11-02,M,MUNCHEN,14971.55,2016-09-26,17:27:00,16190.0,30
19639,T19640,C4529621,1984-09-14,M,BRUXELLES,99639.86,2016-09-26,19:51:27,1238.0,32
19664,T19665,C8683368,1987-03-08,M,MUSCAT,48340.18,2016-09-26,14:49:46,500.0,29
21113,T21114,C6939785,1980-08-15,M,AL KHOBAR,3239.81,2016-09-23,19:42:27,635.0,36
21373,T21374,C3938830,1987-05-07,M,DUBAI,53713.84,2016-09-23,20:31:25,276.0,29
21398,T21399,C7333178,1995-06-21,F,NORBURY,753575.35,2016-09-23,20:37:45,999.0,21
22295,T22296,C6634663,1967-12-06,M,KUWAIT,44792.66,2016-09-23,11:55:50,1831.0,48
22429,T22430,C7828585,1952-09-09,M,SULTANATE OFOMAN,9855.33,2016-09-23,19:17:30,182.26,64
22513,T22514,C6812390,1982-02-20,M,DOHA,30048.81,2016-09-23,19:42:17,1050.0,34
22630,T22631,C6525571,1985-08-28,M,MOUNT HAWTHORN,86681.06,2016-09-23,19:51:57,1000.0,31
22927,T22928,C6741560,1969-05-23,M,HAMPTON PARK,1822254.15,2016-09-22,03:48:45,4456.38,47
23207,T23208,C4837344,1983-03-28,M,COCKEYSVILLE,6710.98,2016-09-23,19:03:54,490.0,33
23414,T23415,C8823764,1987-09-26,M,ABU DHABI,848.29,2016-09-27,16:10:01,938.0,29
23488,T23489,C7767847,1986-12-04,M,DUBAI,14417.45,2016-09-26,08:38:11,65.0,29
23570,T23571,C5133053,1989-06-12,M,KIGALI,12405.19,2016-09-27,16:59:50,1800.0,27
23894,T23895,C3013132,1986-02-11,M,BRUSSEL,273109.16,2016-09-26,18:16:18,2700.0,30
23928,T23929,C5531863,1987-10-06,M,DOHA,204979.59,2016-09-27,17:40:40,3397.0,29
24261,T24262,C6331892,1987-10-06,M,DOHA,204979.59,2016-09-26,18:25:37,1.0,29
24357,T24358,C6142221,1990-01-02,M,DUBAI,10864.91,2016-09-22,12:28:43,10000.0,26
24748,T24749,C6121415,1968-05-19,M,SOUTH MORANG,149700.38,2016-09-26,15:25:37,3399.0,48
25388,T25389,C3420191,1969-06-20,M,DUBAI,82552.62,2016-09-22,12:55:03,4160.0,47
25606,T25607,C5079247,1982-07-02,M,ORLANDO,3834.89,2016-09-22,13:51:16,1199.0,34
26260,T26261,C8179072,1985-05-13,M,SYDNEY,35076.63,2016-09-25,20:06:20,849.0,31
26371,T26372,C8629720,1984-07-25,M,UMM AL QUWAIN,110906.08,2016-09-27,17:45:30,5215.0,32
26828,T26829,C2231586,1991-01-22,M,DUBAI,194991.83,2016-09-26,13:43:58,360.0,25
27376,T27377,C3021454,1968-05-19,M,SOUTH MORANG,149700.38,2016-09-26,12:53:23,1824.0,48
27616,T27617,C1815121,1985-03-25,M,PO BOX 28483 DUBAI,21696661.0,2016-09-25,18:37:54,2498.0,31
27647,T27648,C8323745,1987-09-26,M,ABU DHABI,848.29,2016-09-26,21:52:07,5443.0,29
27933,T27934,C4733647,1984-08-28,M,DUBAI,42533.99,2016-09-26,22:35:37,122.0,32
28397,T28398,C2513637,1996-04-19,M,RIYADH,319972.78,2016-09-25,19:12:47,1000.0,20
29956,T29957,C6710050,1989-06-05,M,DUBAI,78730.02,2016-09-26,21:46:14,11.16,27
30272,T30273,C2642048,1989-04-17,M,MELBOURNE,187204.45,2016-09-25,21:54:24,250.0,27
30340,T30341,C3429732,1975-08-13,M,EDINBURGH,96331.53,2016-09-25,18:40:46,2078.0,41
30979,T30980,C6833816,1985-11-02,M,MUNCHEN,689001.62,2016-09-25,19:40:59,100000.0,30
31840,T31841,C5133852,1985-11-02,M,MUNCHEN,689001.62,2016-09-25,19:40:32,400000.0,30
32271,T32272,C5859927,1985-09-07,F,RIIHIMAKI,1985.66,2016-09-25,19:01:42,800.0,31
32409,T32410,C3133517,1951-07-17,M,RIFFA,4737.7,2016-09-25,21:08:09,694.0,65
32841,T32842,C8033890,1985-11-02,M,MUNCHEN,14971.55,2016-09-25,19:42:43,50000.0,30
32997,T32998,C7433884,1985-11-02,M,MUNCHEN,689001.62,2016-09-25,19:41:33,100000.0,30
33227,T33228,C5533989,1986-07-15,M,DUBAI,10955.36,2016-09-25,21:59:59,686.3,30
33470,T33471,C8929039,1989-01-09,M,NOTTINGHAM,224.48,2016-09-26,21:49:30,599.0,27
33718,T33719,C3822473,1982-10-25,M,DUBAI,1127892.55,2016-09-25,20:02:55,845.0,34
34556,T34557,C6110451,1976-01-27,M,DUBAI,1617441.17,2016-09-30,14:11:50,4216.85,40
34741,T34742,C2967878,1986-12-04,M,DUBAI,14417.45,2016-09-30,10:08:13,65.0,29
34841,T34842,C7033660,1984-08-28,M,DUBAI,42533.99,2016-09-27,08:34:43,368.0,32
34874,T34875,C7033526,1951-07-17,M,RIFFA,4737.7,2016-09-27,09:30:10,1000.0,65
35324,T35325,C8496134,1986-02-11,M,DUBAI -UNITED ARAB EMIRATES DUBAI,56996.87,2016-09-27,00:27:06,1741.0,30
35355,T35356,C8237951,1983-08-27,M,LONDON,34.39,2016-09-27,03:14:31,309.0,33
35397,T35398,C4817044,1985-07-11,M,LAGOS,13197.59,2016-09-30,16:43:55,3772.7,31
35933,T35934,C3029769,1984-07-25,M,UMM AL QUWAIN,110906.08,2016-09-26,04:19:39,1870.0,32
36122,T36123,C4744681,1988-08-30,M,PHOENIX,16654.52,2016-09-26,21:00:08,8200.0,28
36138,T36139,C3813166,1986-02-11,M,BRUSSEL,273109.16,2016-09-26,20:40:05,3583.21,30
36149,T36150,C3418338,1984-01-01,M,DOHA,5923.31,2016-09-27,02:35:50,590.0,32
36626,T36627,C6736617,1983-02-08,F,HELSINKI,187057.01,2016-09-30,19:51:33,220.0,33
36792,T36793,C2417051,1985-07-11,M,LAGOS,6489159.04,2016-09-27,08:36:19,64.0,31
36842,T36843,C2821461,1968-05-19,M,SOUTH MORANG,149700.38,2016-09-30,13:43:48,235.0,48
37098,T37099,C4233534,1951-07-17,M,RIFFA,4737.7,2016-09-30,20:52:20,230.0,65
37258,T37259,C8145422,1988-10-10,M,HOUSTON,14487.49,2016-09-26,07:39:48,1499.0,28
38048,T38049,C2429753,1984-07-25,M,UMM AL QUWAIN,110906.08,2016-09-26,00:36:51,3790.0,32
38196,T38197,C6731851,1987-10-06,M,DOHA,204979.59,2016-09-27,18:33:00,2199.0,29
38498,T38499,C4737349,1992-12-15,M,DUBAI,470.81,2016-09-22,14:15:46,1070.0,23
38681,T38682,C7924633,1982-11-16,M,DAR ES SALAAM,339611.68,2016-09-27,18:27:30,7931.0,33
38693,T38694,C7298175,1985-06-18,M,DANDENONG,61994.81,2016-09-22,15:39:42,1710.79,31
38878,T38879,C4722411,1982-10-25,M,DUBAI,1127892.55,2016-09-27,18:22:40,2000.0,34
39462,T39463,C3624637,1982-11-16,M,DAR ES SALAAM,339611.68,2016-09-27,19:21:19,20000.0,33
39543,T39544,C1813213,1956-05-14,M,ILFORD,743098.3,2016-09-22,16:25:41,13175.7,60
40146,T40147,C4818572,1945-12-10,M,ABU DHABI,11473090.36,2016-09-22,11:41:20,4500.0,70
40470,T40471,C5638823,1987-05-07,M,DUBAI,53713.84,2016-09-22,14:25:38,259.0,29
40554,T40555,C4219029,1989-03-27,M,SINGAPORE,589.09,2016-09-22,08:30:45,99.79,27
40705,T40706,C6732416,1981-06-16,M,ABU DHABI,143.28,2016-09-27,18:37:40,6392.0,35
40763,T40764,C1714734,1986-05-25,M,OMAN,58.96,2016-09-22,08:04:39,250.0,30
40827,T40828,C6537249,1966-07-31,F,RAS TANURA,263780.23,2016-09-22,15:23:52,30999.0,50
42384,T42385,C1025521,1978-01-02,M,MUSCAT,274452.92,2016-08-03,07:07:02,1000.0,38
43083,T43084,C4841862,1991-07-26,M,PALPA,20232.19,2016-08-03,11:23:11,1319.0,25
43249,T43250,C3812392,1983-08-12,M,ULSAN,11343.12,2016-08-03,05:30:20,978.0,33
43253,T43254,C5235553,1977-01-30,M,SHARJAH,682343.3,2016-08-03,10:03:12,1500.0,39
43304,T43305,C1180136,1962-06-16,M,RUWI,78.92,2016-08-03,00:08:32,4409.0,54
43811,T43812,C8280137,1962-06-16,M,RUWI,78.92,2016-08-03,08:56:16,1000.0,54
43819,T43820,C1432779,1987-12-01,M,MALVERN,423048.36,2016-08-03,08:08:39,300.0,28
44542,T44543,C1321286,1981-04-20,F,HATFIELD,1313244.57,2016-08-03,11:08:01,1419.0,35
44582,T44583,C8532267,1979-01-10,F,NSW,44903.57,2016-08-03,12:02:02,1800.0,37
44668,T44669,C2017127,1986-03-16,M,ABU DHABI,610098.05,2016-08-03,13:01:19,1000.0,30
45479,T45480,C1235559,1977-01-30,M,SHARJAH,682343.3,2016-08-03,11:38:41,400.0,39
45917,T45918,C5324764,1961-02-03,F,KUWAIT,10495835.7,2016-08-03,11:51:17,450.0,55
46121,T46122,C6017152,1986-03-16,M,ABU DHABI,610098.05,2016-08-03,13:04:34,500.0,30
46124,T46125,C2141848,1991-07-26,M,PALPA,20232.19,2016-08-03,00:13:10,1.0,25
46559,T46560,C3581721,1980-02-08,M,WESTLANDS,1226.07,2016-08-03,11:39:09,1230.0,36
46968,T46969,C4832255,1979-01-10,F,NSW,44903.57,2016-08-03,12:34:20,3200.0,37
47075,T47076,C7335575,1977-01-30,M,SHARJAH,682343.3,2016-08-03,11:53:14,1714.0,39
47176,T47177,C8332222,1979-01-10,F,NSW,44903.57,2016-08-03,12:36:03,2300.0,37
47467,T47468,C8810762,1984-09-22,M,AL NAKHEEL,10187.41,2016-08-03,13:58:00,2201.79,32
47567,T47568,C7042035,1973-07-09,M,SHARJAH,27247.31,2016-08-03,15:10:13,6000.0,43
47811,T47812,C6537248,1964-04-21,M,DOHA,17196.94,2016-08-03,15:55:46,6911.16,52
48382,T48383,C6821856,1962-11-11,M,MUSCAT,5820.81,2016-08-03,16:08:43,786.0,53
48863,T48864,C3273339,1980-10-26,M,DOHA,1254827.88,2016-08-03,13:44:00,1552.0,36
48981,T48982,C8923567,1976-06-30,M,DUBAI,31638.95,2016-08-03,14:48:38,2828.0,40
49717,T49718,C3236780,1984-09-13,M,SYDNEY,1216.29,2016-08-03,14:01:51,4062.0,32
49895,T49896,C7733777,1990-06-14,M,AJMAN,13437.88,2016-08-03,13:42:54,400.0,26
49954,T49955,C7273316,1980-10-26,M,DOHA,1254827.88,2016-08-03,14:21:10,575.85,36
51063,T51064,C8634311,1988-10-21,F,OLDHAM,675196.67,2016-08-03,17:16:31,500.0,28
51527,T51528,C8489262,1994-11-27,F,FLORIDA,1022943.64,2016-08-03,16:23:34,4025.0,21
51590,T51591,C5612725,1988-01-02,M,DUBAI,171.16,2016-08-03,16:51:12,3963.0,28
51725,T51726,C5281760,1980-02-08,M,WESTLANDS,1226.07,2016-08-03,16:23:42,5000.0,36
51820,T51821,C1634135,1984-02-29,M,SHARJAH,98430.56,2016-08-03,16:31:07,16000.0,32
52042,T52043,C6733862,1991-08-15,M,RIYADH,505.45,2016-08-03,17:06:40,627.0,25
52115,T52116,C4418855,1974-11-19,M,RIYADH,1505.96,2016-08-03,16:02:38,7630.0,41
52195,T52196,C6210359,1973-09-04,M,SOUTH WINDSOR,12977.47,2016-08-03,17:11:12,910.0,43
52992,T52993,C6080146,1962-06-16,M,RUWI,78.92,2016-08-03,16:52:41,10860.0,54
53681,T53682,C3540834,1976-05-20,M,KUWAIT CITY,34713.93,2016-08-03,18:05:36,1090.0,40
54020,T54021,C9030533,1971-07-15,M,HAMBURG,364.85,2016-08-03,19:16:08,1100.0,45
54498,T54499,C7715027,1947-06-07,M,ORLANDO,19479.66,2016-08-03,19:41:24,1600.0,69
54973,T54974,C2014875,1978-05-16,M,MEMPHIS,913604.51,2016-08-03,18:39:44,1369.0,38
55085,T55086,C3815077,1976-08-14,M,RENTON,20773103.4,2016-08-03,18:54:47,1144.0,40
55221,T55222,C2528659,1986-03-17,F,DUBAI,42316.23,2016-08-03,19:02:57,2390.0,30
55492,T55493,C8272135,1994-01-07,M,OKHALDHUNGA,3630.4,2016-08-03,18:55:39,150.0,22
55902,T55903,C7957039,1974-06-05,M,EAGAN,23965.51,2016-08-03,18:47:43,550.0,42
56034,T56035,C2615083,1976-08-14,M,RENTON,20773103.4,2016-08-03,18:49:27,1144.0,40
56057,T56058,C2715073,1976-08-14,M,RENTON,20773103.4,2016-08-03,18:36:03,1144.0,40
56747,T56748,C2440831,1976-05-20,M,KUWAIT CITY,34713.93,2016-08-03,19:55:31,550.0,40
57876,T57877,C7936926,1989-08-28,M,DUBAI,54914.92,2016-08-03,23:28:33,646.0,27
58587,T58588,C5215023,1947-06-07,M,ORLANDO,19479.66,2016-08-03,21:32:29,590.0,69
58694,T58695,C8280020,1961-08-14,M,SHARJAH,27319.44,2016-08-03,21:45:59,6.0,55
60148,T60149,C3037237,1964-04-21,M,DOHA,17196.94,2016-08-03,22:48:24,2400.0,52
61194,T61195,C3910371,1973-09-04,M,SOUTH WINDSOR,12977.47,2016-08-03,21:19:10,5488.0,43
61666,T61667,C5210375,1973-09-04,M,SOUTH WINDSOR,12977.47,2016-08-03,22:50:27,697.0,43
61793,T61794,C2726012,1989-08-21,M,DOHA,51732.07,2016-08-02,03:16:43,3215.55,27
61934,T61935,C6010345,1973-09-04,M,SOUTH WINDSOR,12977.47,2016-08-03,22:41:32,3109.0,43
62171,T62172,C4321069,1982-09-27,M,EDISON,3633560.99,2016-08-02,07:51:40,10099.0,34
62481,T62482,C8739837,1985-11-29,M,QUINCY,515979.44,2016-08-02,01:31:15,4200.0,30
63302,T63303,C2624719,1961-02-03,F,KUWAIT,10495835.7,2016-08-02,09:39:55,1200.0,55
63676,T63677,C7437780,1952-01-13,M,HEIDENHEIM,220504.52,2016-08-02,09:00:23,8425.03,64
63745,T63746,C1024785,1961-02-03,F,KUWAIT,10495835.7,2016-08-02,10:21:35,1000.0,55
64004,T64005,C2530444,1992-01-25,M,SYDNEY,3686.42,2016-08-02,00:03:44,400.0,24
64055,T64056,C8921451,1989-11-05,M,FAHAHEL,9226.08,2016-08-02,21:58:52,195.0,26
64172,T64173,C5924786,1961-02-03,F,KUWAIT,10495835.7,2016-08-02,10:53:21,450.0,55
64187,T64188,C2730848,1979-09-18,M,DUBAI,10000.0,2016-08-02,10:07:22,583.0,37
64435,T64436,C3942489,1963-06-01,F,HENDERSON,230565.35,2016-08-02,04:30:30,11736.0,53
64563,T64564,C5624774,1961-02-03,F,KUWAIT,10495835.7,2016-08-02,10:02:23,1800.0,55
64624,T64625,C6089228,1994-11-27,F,FLORIDA,1022943.64,2016-08-03,22:35:20,4839.0,21
64908,T64909,C1376559,1990-07-12,M,MUSCAT,54469.85,2016-08-02,12:10:21,489.63,26
64925,T64926,C4130362,1969-05-10,M,DUBAI,94518.4,2016-08-02,12:29:21,30750.0,47
65150,T65151,C7023957,1983-08-07,M,DUBAI,224.08,2016-08-02,15:22:29,1000.0,33
65462,T65463,C1321871,1962-11-11,M,MUSCAT,5820.81,2016-08-02,15:52:52,100.0,53
65656,T65657,C1711613,1979-06-25,M,RIYADH,110436.37,2016-08-02,11:18:26,4500.0,37
65763,T65764,C5710312,1973-09-04,M,SOUTH WINDSOR,12977.47,2016-08-02,12:33:50,5830.0,43
66022,T66023,C6413585,1975-01-07,F,WOODSIDE,150985.92,2016-08-02,11:32:37,2175.0,41
66537,T66538,C4767131,1975-11-05,M,ABU DHABI,84953.47,2016-08-02,11:16:33,12000.0,40
66721,T66722,C7810345,1973-09-04,M,SOUTH WINDSOR,12977.47,2016-08-02,12:33:15,5830.0,43
66758,T66759,C7010353,1973-09-04,M,SOUTH WINDSOR,12977.47,2016-08-02,14:23:32,4392.0,43
67038,T67039,C8613564,1975-01-07,F,WOODSIDE,150985.92,2016-08-02,12:49:50,313.0,41
67226,T67227,C4830825,1979-09-18,M,DUBAI,10000.0,2016-08-02,15:01:28,1602.0,37
67748,T67749,C2641822,1982-02-08,M,DUBAI,814304.89,2016-08-02,14:12:39,11573.0,34
68099,T68100,C4820533,1986-05-28,M,KUWAIT CITY,59045.23,2016-08-02,14:12:34,3350.0,30
68154,T68155,C2920541,1986-05-28,M,KUWAIT CITY,59045.23,2016-08-02,14:45:19,595.0,30
68358,T68359,C3573340,1980-10-26,M,DOHA,1254827.88,2016-08-02,14:52:13,1596.0,36
68529,T68530,C7340583,1986-10-27,M,SHARJAH,31808.07,2016-08-02,13:42:45,250.0,29
68555,T68556,C3121834,1962-11-11,M,MUSCAT,5820.81,2016-08-02,15:12:22,499.0,53
68581,T68582,C1510362,1973-09-04,M,SOUTH WINDSOR,12977.47,2016-08-02,12:24:44,1798.0,43
68724,T68725,C5542449,1984-08-13,M,SHARJAH,47568.74,2016-08-02,14:39:54,890.0,32
68892,T68893,C4730817,1979-09-18,M,DUBAI,10000.0,2016-08-02,14:04:55,12500.0,37
69119,T69120,C2121888,1962-11-11,M,MUSCAT,5820.81,2016-08-02,12:20:12,90.0,53
69201,T69202,C5620567,1986-05-28,M,KUWAIT CITY,59045.23,2016-08-02,14:22:00,1150.0,30
69513,T69514,C2220559,1986-05-28,M,KUWAIT CITY,59045.23,2016-08-02,13:09:11,1490.0,30
69639,T69640,C4416792,1972-01-06,M,LAGOS,132811.8,2016-08-02,14:48:07,2850.0,44
69641,T69642,C7533719,1990-06-14,M,AJMAN,13437.88,2016-08-02,14:33:50,13500.0,26
70230,T70231,C7333817,1977-01-02,M,KUALA BELAIT,126574.96,2016-08-02,13:05:03,47647.0,39
70770,T70771,C2012377,1983-08-12,M,ULSAN,11343.12,2016-08-02,19:43:18,5483.0,33
71597,T71598,C8882043,1980-01-23,M,SHARJAH MAIN CITY,1019133.95,2016-08-02,15:21:57,3555.0,36
71669,T71670,C5567144,1975-11-05,M,ABU DHABI,84953.47,2016-08-02,16:53:13,109.0,40
72192,T72193,C1989264,1994-11-27,F,FLORIDA,1022943.64,2016-08-02,15:00:24,1000.0,21
72426,T72427,C4110383,1973-09-04,M,SOUTH WINDSOR,12977.47,2016-08-02,15:09:05,5108.0,43
72574,T72575,C9030476,1992-01-25,M,SYDNEY,3686.42,2016-08-02,16:00:38,1000.0,24
72582,T72583,C5710311,1973-09-04,M,SOUTH WINDSOR,12977.47,2016-08-02,15:35:33,16910.0,43
72612,T72613,C3911767,1951-07-25,M,MANAMA,25301.55,2016-08-02,15:16:05,4885.37,65
72673,T72674,C6295731,1976-03-17,M,DUBAI,1357.63,2016-08-02,17:21:05,1410.0,40
73188,T73189,C8167136,1975-11-05,M,ABU DHABI,84953.47,2016-08-02,16:41:33,105.0,40
73191,T73192,C5029870,1978-11-16,M,DOHA,4144328.04,2016-08-02,16:07:13,1940.0,37
73246,T73247,C5838438,1971-05-29,M,DHAHRAN,277651.64,2016-08-02,15:29:54,3778.05,45
74137,T74138,C4080126,1962-06-16,M,RUWI,78.92,2016-08-02,21:36:55,16500.0,54
74395,T74396,C7421860,1962-11-11,M,MUSCAT,5820.81,2016-08-02,18:10:27,2186.0,53
75038,T75039,C6934647,1986-11-25,M,LUTON,260109.56,2016-08-02,20:43:06,3512.0,29
75042,T75043,C4942416,1984-08-13,M,SHARJAH,47568.74,2016-08-02,21:36:14,747.0,32
75503,T75504,C1833963,1971-06-28,M,DUBAI,9842.18,2016-08-02,18:47:18,560.0,45
75509,T75510,C4675357,1978-05-10,F,GAITHERSBURG,83053.31,2016-08-02,18:41:12,8560.0,38
76297,T76298,C8528677,1986-03-17,F,DUBAI,42316.23,2016-08-02,17:51:05,4695.0,30
76338,T76339,C7717749,1981-12-25,M,NSW,26904.85,2016-08-02,18:30:05,930.0,34
76594,T76595,C1739249,1980-10-21,M,SINGAPORE,232573.44,2016-08-02,23:06:40,35466.0,36
76878,T76879,C1713361,1982-06-28,M,EXTON,2030696.47,2016-08-02,19:34:34,871.0,34
77249,T77250,C4934648,1986-11-25,M,LUTON,260109.56,2016-08-02,21:06:48,5213.2,29
78331,T78332,C7212350,1983-08-12,M,ULSAN,11343.12,2016-08-02,20:31:21,3079.0,33
78799,T78800,C2810017,1980-07-01,M,ABU DHABI,515979.4,2016-08-01,08:27:48,23397.56,36
79931,T79932,C6234637,1986-11-25,M,LUTON,260109.56,2016-08-02,20:41:19,4200.0,29
80346,T80347,C3245874,1989-10-10,M,EDMONTON AB,14869.83,2016-08-02,22:31:39,600.0,27
80357,T80358,C2580150,1962-06-16,M,RUWI,78.92,2016-08-02,23:35:12,4629.0,54
80469,T80470,C4419030,1989-03-27,M,SINGAPORE,589.09,2016-08-01,10:14:10,176.04,27
80543,T80544,C2640122,1983-02-02,M,DOHA,28.11,2016-08-02,18:36:55,46.69,33
80983,T80984,C4880131,1962-06-16,M,RUWI,78.92,2016-08-02,23:50:21,4409.0,54
82177,T82178,C7834962,1975-12-14,M,MANGAF,78418.06,2016-08-02,21:53:06,3036.0,40
82314,T82315,C7418323,1984-01-01,M,DOHA,5923.31,2016-08-01,12:44:11,2599.0,32
82522,T82523,C7621069,1982-09-27,M,EDISON,3633560.99,2016-08-02,22:05:35,15999.0,34
82935,T82936,C7313522,1975-01-07,F,WOODSIDE,150985.92,2016-08-02,22:41:07,180.0,41
82999,T83000,C1334165,1984-12-25,M,SHEBOYGAN,158726.99,2016-08-02,21:32:03,1459.0,31
83976,T83977,C2413576,1975-01-07,F,WOODSIDE,150985.92,2016-08-02,21:19:56,1550.0,41
85457,T85458,C7015082,1947-06-07,M,ORLANDO,19479.66,2016-08-01,13:26:26,4000.0,69
85857,T85858,C8723986,1983-08-07,M,DUBAI,224.08,2016-08-01,08:55:54,807.0,33
